epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.5519458990097046,0.42708,1.2124079025268557,0.5546,0.001
2,1.2258131972503663,0.55894,1.051510362625122,0.6233,0.001
3,1.0794383884429932,0.61312,0.954760179901123,0.6685,0.001
4,1.0009061701965332,0.64322,0.8143637306213379,0.7157,0.001
5,0.936856637802124,0.6682,0.7548504735946655,0.7309,0.001
6,0.8927853176689148,0.68498,0.7558458014488221,0.7356,0.001
7,0.8568793155288696,0.69642,0.7177812795639038,0.748,0.001
8,0.8277179773902893,0.70688,0.7096233673095703,0.7538,0.001
9,0.8037277498626709,0.71616,0.6582722005844116,0.7692,0.001
10,0.7882421497726441,0.72128,0.6509456972122193,0.77,0.0005
11,0.7116699154281616,0.74672,0.5722089860916137,0.8031,0.0005
12,0.6981209163093567,0.75484,0.5550369843482971,0.8036,0.0005
13,0.6842666934585572,0.75868,0.5585542718887329,0.805,0.0005
14,0.6777709134674073,0.76088,0.5369296186447143,0.8177,0.0005
15,0.6657172013854981,0.76536,0.5360936507225037,0.8149,0.0005
16,0.6575301947593689,0.76864,0.5420168650150299,0.8135,0.0005
17,0.6493919350624084,0.7715,0.520676148557663,0.818,0.0005
18,0.6426566606140137,0.77534,0.5160292825698852,0.8176,0.0005
19,0.6346935229110717,0.77692,0.5580556817531586,0.8099,0.0005
20,0.6310363753223419,0.7774,0.5164638375282288,0.8162,0.00025
21,0.5946239666366577,0.78996,0.4852831001281738,0.8333,0.00025
22,0.588318455209732,0.79408,0.4785338544368744,0.8372,0.00025
23,0.5846334652328491,0.7931,0.4748978292942047,0.8369,0.00025
24,0.5781684241104126,0.79626,0.4787939342975616,0.8363,0.00025
25,0.5734571643638611,0.79712,0.4722702879428863,0.8398,0.00025
26,0.5704851450443268,0.79848,0.4814307330608368,0.8361,0.00025
27,0.5688010165596008,0.79894,0.4622334422111511,0.8383,0.00025
28,0.5619261339187622,0.8024,0.4625688743591308,0.8406,0.00025
29,0.5592368583679199,0.80254,0.4626419090270996,0.8395,0.00025
30,0.5554434246826172,0.80462,0.4630145973682403,0.8405,0.000125
31,0.5477720278549194,0.80714,0.4603836762905121,0.841,0.000125
32,0.5401227248191833,0.81204,0.4539760837078094,0.8441,0.000125
33,0.5375151803016662,0.81034,0.4547851535797119,0.8461,0.000125
34,0.5332308365631103,0.81204,0.446159175491333,0.8488,0.000125
35,0.533059989643097,0.81156,0.4497630136013031,0.8461,0.000125
36,0.5315555788612366,0.81338,0.4592750648975372,0.8451,0.000125
37,0.5324599871444702,0.81344,0.4473793853282928,0.8487,0.000125
38,0.5252880690479279,0.81354,0.4457972530841827,0.8471,0.000125
39,0.5257640191555023,0.81512,0.4451049301147461,0.8479,0.000125
40,0.5300703528881073,0.81352,0.4431555433273315,0.8477,6.25e-05
41,0.5064401916027069,0.82152,0.4448687371253967,0.8466,0.000125
42,0.5108955818748474,0.82072,0.4420189610004425,0.8497,0.000125
43,0.5066470726013184,0.82246,0.4369217049121857,0.8479,0.000125
44,0.5033790634059906,0.82386,0.4479108069896698,0.8474,0.000125
45,0.5065039356613159,0.82136,0.4388426271915436,0.8499,0.000125
46,0.5057392337036133,0.8223,0.4449925311565399,0.8479,6.25e-05
47,0.4978547950363159,0.82446,0.43880578207969667,0.8501,6.25e-05
48,0.49470873432159423,0.82528,0.4378020289421082,0.8509,6.25e-05
49,0.4952750874900818,0.82674,0.43784171919822695,0.8492,6.25e-05
50,0.49725205907821657,0.82488,0.4387228447914124,0.8503,6.25e-05
51,0.4961419441986084,0.82422,0.4420258955001831,0.8479,6.25e-05
52,0.49366341543197634,0.82544,0.4384326180458069,0.8489,6.25e-05
53,0.4946703610420227,0.82462,0.43724780750274655,0.8492,6.25e-05
54,0.49270523854255677,0.82756,0.4359280166625977,0.8497,6.25e-05
55,0.492785763130188,0.82686,0.4371120635509491,0.8496,6.25e-05
56,0.49329024993896486,0.82602,0.4375385714530945,0.8514,3.125e-05
57,0.4868641543388367,0.82794,0.4364879663467407,0.8505,3.125e-05
58,0.4836688687133789,0.82972,0.4325912189483643,0.8528,3.125e-05
59,0.48437485008239745,0.82934,0.4380899800777435,0.8507,3.125e-05
60,0.4837920038986206,0.8296,0.4362018382549286,0.8531,3.125e-05
