,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.9181459566074951,0.9668008048289738,0.9178794178794178,0.8507014028056112,0.9264413518886679,0.8763600395647874,0.9441674975074775,0.9506545820745217,0.9598393574297188,0.9393939393939394,0.925,0.925038434998061,0.9250384349980612
recall,0.931,0.961,0.883,0.849,0.932,0.886,0.947,0.944,0.956,0.961,0.925,0.925,0.925
f1-score,0.9245283018867925,0.9638916750250752,0.9001019367991845,0.8498498498498499,0.9292123629112662,0.8811536548980606,0.945581627558662,0.9473156046161565,0.9579158316633266,0.9500741473059812,0.925,0.9249624992514356,0.9249624992514355
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.925,10000.0,10000.0
