,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8631578947368421,0.9378698224852071,0.8317560462670873,0.7515212981744422,0.8812182741116751,0.8274793388429752,0.8744007670182167,0.9037698412698413,0.9297893681043129,0.9312063808574277,0.8738,0.8732169031868027,0.8732169031868029
recall,0.902,0.951,0.791,0.741,0.868,0.801,0.912,0.911,0.927,0.934,0.8738,0.8737999999999999,0.8738
f1-score,0.8821515892420538,0.9443892750744787,0.8108662224500256,0.7462235649546828,0.87455919395466,0.8140243902439024,0.8928046989720999,0.9073705179282868,0.928392588883325,0.9326010983524713,0.8738,0.8733383140055986,0.8733383140055987
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8738,10000.0,10000.0
