,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8756073858114675,0.9287109375,0.8444216990788127,0.7923497267759563,0.8722966014418125,0.821285140562249,0.8765315739868049,0.9064676616915422,0.9304174950298211,0.9124015748031497,0.8771,0.8760489796681616,0.8760489796681615
recall,0.901,0.951,0.825,0.725,0.847,0.818,0.93,0.911,0.936,0.927,0.8771,0.8770999999999999,0.8771
f1-score,0.8881222276983736,0.9397233201581028,0.834597875569044,0.7571801566579635,0.8594622019279553,0.8196392785571143,0.9024745269286754,0.9087281795511222,0.9332003988035892,0.9196428571428571,0.8771,0.8762771022994797,0.8762771022994799
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8771,10000.0,10000.0
