epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.5144399263763428,0.43608,1.2369439805984497,0.571,0.012714595572654946
2,1.1592119459342956,0.58244,1.0151872676849365,0.6409,0.020530869885149627
3,1.01399564743042,0.63938,1.05760807762146,0.6454,0.0325057996644461
4,0.9393384647274017,0.67026,1.1382656989097595,0.6373,0.04719462529446737
5,0.891570852432251,0.69038,0.8298953162193299,0.7191,0.06282515917420206
6,0.859288494567871,0.7,0.7538288366317749,0.7426,0.07751159783395409
7,0.832659164352417,0.70922,0.826012504196167,0.7223,0.08948204165755325
8,0.8156270001220703,0.71716,0.7758051488876343,0.7429,0.09729227225361028
9,0.8027213170051575,0.72292,0.9687175061225891,0.673,0.09999999984502866
10,0.7823858968734742,0.7307,0.7983798384666443,0.7188,0.09990501889381957
11,0.7642084536647796,0.73474,0.7784246942520142,0.7453,0.09962092077931042
12,0.751481674118042,0.73952,0.7670173693656921,0.7399,0.09914878318296051
13,0.7445314496803284,0.74044,0.7137974665641784,0.7635,0.09849039708439214
14,0.7349772019386291,0.74726,0.950619264793396,0.6989,0.0976482599675915
15,0.7261238588714599,0.7472,0.6810009577274323,0.769,0.09662556634709638
16,0.719104453163147,0.75056,0.7466480588912964,0.7437,0.09542619565010838
17,0.7173179402637482,0.7492,0.7266849596977234,0.7598,0.09405469750049675
18,0.7043961090660095,0.7577,0.7144085529327393,0.7606,0.09251627446051658
19,0.6994533979034424,0.75774,0.7180567383766174,0.7607,0.0908167622957083
20,0.6960544037628174,0.75974,0.5776740916252137,0.8001,0.08896260783783996
21,0.6879556610965729,0.76232,0.6557142723083496,0.7744,0.08696084452986623
22,0.6787917580223084,0.76286,0.6437848508834839,0.7898,0.08481906574567002
23,0.6827571467018128,0.76392,0.6089594405651092,0.7847,0.08254539598579454
24,0.671381455078125,0.76796,0.7569594080924987,0.7567,0.0801484600584298
25,0.6725088006591797,0.76668,0.8002031290054321,0.7358,0.07763735036256096
26,0.6606609041976929,0.7717,0.6514116481781006,0.785,0.0750215923973846
27,0.6589213218688965,0.77022,0.5266963885784149,0.8183,0.07231110862882748
28,0.657713518486023,0.77244,0.591703796672821,0.7925,0.0695161808502347
29,0.6454483824825287,0.77592,0.6425140461444855,0.7851,0.06664741118000563
30,0.6502651540374755,0.77506,0.510642580127716,0.8251,0.0637156818441274
31,0.6399378680324554,0.77808,0.5864231150627136,0.8043,0.060732113896164265
32,0.6316683124542236,0.77952,0.5696483424186707,0.8076,0.05770802503129217
33,0.6272589196014404,0.783,0.6038701508522034,0.7929,0.054654886654404385
34,0.6243028906440735,0.7842,0.606790407371521,0.7906,0.05158428036514343
35,0.6175254748296738,0.78492,0.4802498601913452,0.8344,0.048507854024926716
36,0.6084268321418762,0.7898,0.5508389815807343,0.8112,0.04543727757261842
37,0.6045941665077209,0.7889,0.49750202441215513,0.8311,0.042384198756454126
38,0.5976430308914185,0.7931,0.7106231464385986,0.7773,0.03936019895014216
39,0.5919103106498719,0.79444,0.5458249667167664,0.818,0.03637674922074617
40,0.580193922367096,0.79856,0.4660466428756714,0.8436,0.03344516681499856
41,0.5755172815227508,0.80008,0.46859035172462465,0.8398,0.030576572229107313
42,0.5639285160636902,0.80352,0.47488670568466185,0.8353,0.027781847024904653
43,0.5551207520961762,0.80678,0.5459265979766845,0.8182,0.025071592552355918
44,0.5360686789131165,0.81386,0.42945650329589846,0.8525,0.02245608973500791
45,0.5261984243202209,0.81912,0.42853803825378417,0.8553,0.019945260070924266
46,0.5136261386871338,0.82252,0.3979606916427612,0.8678,0.017548627997045128
47,0.4975155528450012,0.82862,0.3422076335906982,0.8833,0.015275284759735271
48,0.4852842978096008,0.83188,0.414134045791626,0.8616,0.013133853928572772
49,0.4671807918739319,0.8393,0.358744446182251,0.8781,0.011132458684195804
50,0.4473128140640259,0.84492,0.3595181112289429,0.8807,0.009278691004295994
51,0.42496684059143064,0.85184,0.37354347443580627,0.8768,0.0075795828646467
52,0.4073795925617218,0.85954,0.3231497010469437,0.8883,0.006041579564410146
53,0.3851925652217865,0.86698,0.2994157922744751,0.8993,0.004670515276910119
54,0.36757674081802366,0.87282,0.28236450867652896,0.9042,0.0034715909186141666
55,0.3362163115119934,0.8835,0.26510654516220095,0.9095,0.002449354420275945
56,0.3214388333129883,0.8886,0.25458028995990756,0.9101,0.0016076834750761479
57,0.302789047794342,0.89634,0.23856990222930907,0.9184,0.0009497708292040325
58,0.2895183867478371,0.9015,0.23583101358413697,0.92,0.0004781121706775095
59,0.281692447347641,0.90326,0.23478455681800842,0.9194,0.00019449666234368977
60,0.2754859890651703,0.90656,0.23211033244132995,0.9191,0.00010000015497134076
