,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.9142300194931774,0.96579476861167,0.9174603174603174,0.8395939086294416,0.905458089668616,0.8811475409836066,0.9260700389105059,0.9369458128078818,0.9565217391304348,0.9458661417322834,0.9191,0.9189088377427936,0.9189088377427935
recall,0.938,0.96,0.867,0.827,0.929,0.86,0.952,0.951,0.946,0.961,0.9191,0.9191,0.9191
f1-score,0.9259624876604146,0.9628886659979939,0.8915167095115681,0.8332493702770781,0.9170779861796644,0.8704453441295547,0.9388560157790927,0.9439205955334987,0.9512317747611865,0.9533730158730159,0.9191,0.9188521965703067,0.9188521965703068
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9191,10000.0,10000.0
